company_name,industry,sector
First Trust NASDAQ Rising Dividend Achievers ETF,Fund/ETF/Bond,Finance
Robo,Fund/ETF/Bond,Finance
Towne Bank,Banks,Finance
ProShares UltraPro QQQ,Fund/ETF/Bond,Finance
First Trust Total US Market AlphaDEX ETF,Fund/ETF/Bond,Finance
iShares MSCI UAE Capped ETF,Fund/ETF/Bond,Finance
Ultrapetrol (Bahamas) Limited,Marine Transportation,Transportation
Validea Market Legends ETF,Fund/ETF/Bond,Finance
Vident Core U.S. Bond Strategy Fund,Fund/ETF/Bond,Finance
Vanguard Intermediate,Fund/ETF/Bond,Finance
Vanguard Long,Fund/ETF/Bond,Finance
Vanguard Short,Fund/ETF/Bond,Finance
"WhiteHorse Finance, Inc.",Investment Managers,Finance
iShares S&P Global Timber & Forestry Index Fund,Fund/ETF/Bond,Finance
